index,target,mcc
91,familymembersunder18,0.7538474769774277
91,migrationcodechangeinmsa,0.7931086464206105
91,migrationcodechangeinreg,0.9177735487041425
91,migrationcodemovewithinreg,0.9102055298147007
91,taxfilerstat,0.6799680941306168
66,detailedhouseholdandfamilystat,0.8950372063268618
66,detailedhouseholdsummaryinhousehold,0.9766484307714545
66,detailedindustryrecode,0.7983741954175159
66,detailedoccupationrecode,0.6412349068082633
66,familymembersunder18,0.7858417266168543
66,majorindustrycode,0.9744421639196195
66,majoroccupationcode,0.9678699038190408
66,maritalstat,0.7290140188630182
66,taxfilerstat,0.8105842883948994
86,countryofbirthfather,0.6580458826382999
86,countryofbirthmother,0.6515809874443336
86,liveinthishouse1yearago,1.0
86,migrationcodechangeinmsa,0.7572230847973787
86,migrationcodechangeinreg,0.9055265604920215
86,migrationcodemovewithinreg,0.8847720497853129
86,veteransbenefits,0.8017284785872991
85,liveinthishouse1yearago,0.9967880004281523
85,migrationcodechangeinmsa,0.7034065274061233
85,migrationcodechangeinreg,0.9008941839249102
85,migrationcodemovewithinreg,0.9643697617715267
85,taxfilerstat,0.6011527831625088
60,detailedindustryrecode,0.793096105185895
60,detailedoccupationrecode,0.6394637906762062
60,familymembersunder18,0.7178676499179543
60,majorindustrycode,0.9725901736532828
60,majoroccupationcode,0.9694098410645714
60,migrationcodechangeinmsa,0.7980130734661103
60,migrationcodemovewithinreg,0.7659000031738216
60,taxfilerstat,0.7024574890321851
71,liveinthishouse1yearago,0.9994433677782654
71,migrationcodechangeinmsa,0.789050119751466
71,migrationcodechangeinreg,0.7581674652480624
71,taxfilerstat,0.666448722544425
63,classofworker,0.6023597522499523
63,liveinthishouse1yearago,0.9994308495027562
63,migrationcodechangeinmsa,0.7996871917152951
63,migrationcodemovewithinreg,0.7724603044136453
63,taxfilerstat,0.7102327073147422
47,detailedhouseholdandfamilystat,0.8650490485193658
47,detailedhouseholdsummaryinhousehold,0.9816428557179163
47,detailedindustryrecode,0.7801840482172447
47,detailedoccupationrecode,0.6125845955109523
47,familymembersunder18,0.7327438845373733
47,majorindustrycode,0.9764645698816667
47,majoroccupationcode,0.9841926010170986
47,migrationcodechangeinmsa,0.7914176232762874
47,migrationcodemovewithinreg,0.7615691555633445
47,taxfilerstat,0.6627214153688807
98,migrationcodechangeinmsa,0.7670910769149005
98,migrationcodechangeinreg,0.9210233741086099
98,migrationcodemovewithinreg,0.9254815864275622
98,migrationprevresinsunbelt,0.7798501933087378
37,detailedhouseholdsummaryinhousehold,0.9432790239080544
72,detailedhouseholdandfamilystat,0.872418773783032
72,detailedhouseholdsummaryinhousehold,0.9839859795306892
72,familymembersunder18,0.7571479429099169
72,liveinthishouse1yearago,0.9989854943958736
72,migrationcodechangeinmsa,0.7942304702933553
72,migrationcodechangeinreg,0.9218863961933658
72,migrationcodemovewithinreg,0.9099933561201442
72,taxfilerstat,0.6963146774282982
53,classofworker,0.6537210052971669
53,detailedindustryrecode,0.794873497075818
53,detailedoccupationrecode,0.6367710329455984
53,familymembersunder18,0.7536561432608899
53,majorindustrycode,0.9685786996532004
53,majoroccupationcode,0.9616092184972826
53,migrationcodechangeinmsa,0.7980153212769467
53,migrationcodechangeinreg,0.9121873430587025
53,migrationcodemovewithinreg,0.9006970516613706
53,taxfilerstat,0.7072138923797744
82,detailedindustryrecode,0.7809420960210242
82,detailedoccupationrecode,0.6277197908384483
82,majorindustrycode,0.984486287026554
82,majoroccupationcode,0.9921129855294306
82,taxfilerstat,0.6472028187903315
87,detailedhouseholdandfamilystat,0.880665250832123
87,detailedhouseholdsummaryinhousehold,0.9857444377813409
87,detailedindustryrecode,0.7832967831871873
87,familymembersunder18,0.76425558321854
87,majorindustrycode,0.966552011396527
87,migrationcodechangeinmsa,0.7965979452515766
87,migrationcodechangeinreg,0.9210790943016369
87,migrationcodemovewithinreg,0.9064135805693473
87,taxfilerstat,0.68072208567759
77,detailedhouseholdandfamilystat,0.860385753731999
77,detailedhouseholdsummaryinhousehold,0.9815329171274652
77,detailedindustryrecode,0.7726921362161248
77,detailedoccupationrecode,0.6273851637162654
77,familymembersunder18,0.733131430156385
77,majorindustrycode,0.9794976940783263
77,majoroccupationcode,0.9745055337373557
77,migrationcodechangeinmsa,0.7903181168912133
77,migrationcodemovewithinreg,0.7607608707184479
77,taxfilerstat,0.6530714156180719
2,migrationcodechangeinreg,0.8580269158151004
2,migrationcodemovewithinreg,0.9828244895827123
83,detailedoccupationrecode,0.6100985541599793
83,familymembersunder18,0.7416509211417379
83,majoroccupationcode,0.988090809324599
83,migrationcodechangeinmsa,0.790757795028708
83,migrationcodechangeinreg,0.9212104671600794
83,migrationcodemovewithinreg,0.9114618145345562
83,taxfilerstat,0.6604386354854781
50,detailedhouseholdandfamilystat,0.8796861565012978
50,detailedhouseholdsummaryinhousehold,0.9807064298529917
50,detailedindustryrecode,0.7945774335760566
50,detailedoccupationrecode,0.6413619832031623
50,familymembersunder18,0.803457193531658
50,majorindustrycode,0.9740143928279369
50,majoroccupationcode,0.9714692649643965
50,taxfilerstat,0.6932151203941636
67,classofworker,0.6131893982885944
67,detailedhouseholdandfamilystat,0.8765540027707704
67,detailedhouseholdsummaryinhousehold,0.9847036472711902
67,familymembersunder18,0.7568727810644041
67,liveinthishouse1yearago,0.998954920668539
67,migrationcodechangeinreg,0.7708170877480506
67,taxfilerstat,0.6971078184666877
17,detailedhouseholdandfamilystat,0.7626742414032484
17,detailedhouseholdsummaryinhousehold,0.9869977691733003
102,familymembersunder18,0.7001265205628043
62,detailedindustryrecode,0.7687534026711437
62,detailedoccupationrecode,0.6056359258094733
62,liveinthishouse1yearago,0.9999255282180274
62,majorindustrycode,0.9867399852640422
62,majoroccupationcode,0.9842041857987519
62,migrationcodechangeinmsa,0.7841248925432179
62,migrationcodechangeinreg,0.9167466989634734
62,migrationcodemovewithinreg,0.905094416194959
80,detailedhouseholdandfamilystat,0.8851696793895184
80,detailedhouseholdsummaryinhousehold,0.9738633128129625
80,detailedindustryrecode,0.79303026369825
80,detailedoccupationrecode,0.6359495392317064
80,familymembersunder18,0.7506917128559795
80,majorindustrycode,0.9649522376360027
80,majoroccupationcode,0.9675431201632579
80,maritalstat,0.7343273641157689
80,migrationcodechangeinreg,0.9159592680406102
80,migrationcodemovewithinreg,0.8990166427328767
80,taxfilerstat,0.774771681396032
64,detailedhouseholdandfamilystat,0.8659554300005047
64,detailedhouseholdsummaryinhousehold,0.9752345071601329
64,detailedindustryrecode,0.7833908845007904
64,detailedoccupationrecode,0.6258024487008549
64,familymembersunder18,0.7343961693157545
64,majorindustrycode,0.9594686478198845
64,majoroccupationcode,0.9656718994498954
64,maritalstat,0.7145566443239849
64,migrationcodechangeinmsa,0.7954494801825135
64,migrationcodechangeinreg,0.9179266456734206
64,migrationcodemovewithinreg,0.9068603520388248
64,taxfilerstat,0.7799521978220463
52,classofworker,0.645739485972682
52,detailedhouseholdandfamilystat,0.8729210014281449
52,detailedhouseholdsummaryinhousehold,0.9843272166852336
52,detailedindustryrecode,0.795789133991179
52,detailedoccupationrecode,0.643699150390854
52,familymembersunder18,0.7859379947067637
52,majorindustrycode,0.9720029253026853
52,majoroccupationcode,0.9767376799492472
52,taxfilerstat,0.7191721306910677
42,liveinthishouse1yearago,1.0000000000000002
42,regionofpreviousresidence,0.9720243877581239
90,detailedhouseholdandfamilystat,0.8660574425494684
90,detailedhouseholdsummaryinhousehold,0.9903744907696846
90,familymembersunder18,0.7258993425977854
90,maritalstat,0.6747046615466548
90,taxfilerstat,0.768155332371713
69,detailedindustryrecode,0.780359322306891
69,familymembersunder18,0.7648621158325676
69,majorindustrycode,0.9691638369751098
69,maritalstat,0.6966261230917425
69,migrationcodechangeinreg,0.9121083349263567
69,migrationcodemovewithinreg,0.899496834543853
69,taxfilerstat,0.727252360323895
49,classofworker,0.6493777080061052
49,detailedhouseholdandfamilystat,0.8887462863253487
49,detailedhouseholdsummaryinhousehold,0.9802801246872002
49,detailedindustryrecode,0.7978798487737521
49,detailedoccupationrecode,0.6514332691014261
49,familymembersunder18,0.764811980491089
49,majorindustrycode,0.9727759702987352
49,majoroccupationcode,0.9637998535374224
49,maritalstat,0.7272287967410429
49,taxfilerstat,0.8131306488007809
93,detailedhouseholdandfamilystat,0.859227025273093
93,detailedhouseholdsummaryinhousehold,0.9814979296731106
93,taxfilerstat,0.6499791129975189
99,detailedindustryrecode,0.7699768139539965
99,majorindustrycode,0.9965818200562433
99,maritalstat,0.6318529311302552
99,taxfilerstat,0.7287422294412433
57,detailedhouseholdandfamilystat,0.878191560668957
57,detailedhouseholdsummaryinhousehold,0.9776535458994746
57,detailedindustryrecode,0.7670787375071074
57,detailedoccupationrecode,0.6221297999181122
57,familymembersunder18,0.7999833920393348
57,majorindustrycode,0.9858885673674062
57,majoroccupationcode,0.9863827594696601
57,taxfilerstat,0.6775651619936862
45,classofworker,0.6230413737440247
45,detailedhouseholdandfamilystat,0.880392617325343
45,detailedhouseholdsummaryinhousehold,0.9810066623560908
45,detailedindustryrecode,0.7943581699699638
45,detailedoccupationrecode,0.6505603674888474
45,familymembersunder18,0.7927275006582345
45,majorindustrycode,0.9716985852698979
45,majoroccupationcode,0.9739194237234163
45,taxfilerstat,0.6907320163440053
97,migrationcodechangeinmsa,0.7790807754063748
97,migrationcodechangeinreg,0.9298631773393604
97,migrationcodemovewithinreg,1.0000000000000002
97,regionofpreviousresidence,0.6492954373732326
95,fillincquestionnaireforveteransadmin,0.8802987935036866
95,liveinthishouse1yearago,0.9970853548953968
95,migrationcodechangeinreg,0.8017135432415474
95,migrationcodemovewithinreg,0.7673624393866102
95,veteransbenefits,0.976878644224142
79,classofworker,0.6277421808627183
79,detailedhouseholdandfamilystat,0.8674020637070905
79,detailedhouseholdsummaryinhousehold,0.9792772143619178
79,detailedindustryrecode,0.7831568847374752
79,familymembersunder18,0.7724754043587039
79,majorindustrycode,0.9791952040315697
79,migrationcodechangeinmsa,0.7950624782635536
79,migrationcodechangeinreg,0.8936308500899529
79,migrationcodemovewithinreg,0.9084472037050174
79,taxfilerstat,0.7015265033773804
100,memberofalaborunion,0.6865763621603852
73,detailedhouseholdandfamilystat,0.86098458172649
73,detailedhouseholdsummaryinhousehold,0.9850866247794829
73,familymembersunder18,0.7068708571132774
73,maritalstat,0.6895194027052854
73,migrationcodechangeinmsa,0.766101841065658
73,migrationcodechangeinreg,0.7427115469839957
73,taxfilerstat,0.7504780478067263
32,memberofalaborunion,0.6471160740214922
68,detailedindustryrecode,0.7729653692614482
68,familymembersunder18,0.7567022169565933
68,liveinthishouse1yearago,0.9992659800407542
68,majorindustrycode,0.9856115740581964
68,migrationcodechangeinmsa,0.7910019000793774
68,migrationcodemovewithinreg,0.7695797050414682
56,classofworker,0.6244680133254651
56,detailedhouseholdandfamilystat,0.8697181450182763
56,detailedhouseholdsummaryinhousehold,0.9755880887139201
56,detailedindustryrecode,0.7950559350732879
56,detailedoccupationrecode,0.639753543054991
56,majorindustrycode,0.9744893863011524
56,majoroccupationcode,0.9622350382421876
56,migrationcodechangeinmsa,0.79947174881687
56,migrationcodemovewithinreg,0.7703578444616452
56,taxfilerstat,0.6973309031812919
51,classofworker,0.6672738870375813
51,detailedhouseholdandfamilystat,0.8737715747610646
51,detailedhouseholdsummaryinhousehold,0.9793348724463655
51,detailedindustryrecode,0.8063110845146698
51,detailedoccupationrecode,0.6501671295728222
51,familymembersunder18,0.7743135231106618
51,majorindustrycode,0.9748825501995217
51,majoroccupationcode,0.9638504356903197
51,taxfilerstat,0.6961568871698984
