index,target,mcc
10,L_PARTKEY,1
10,PS_PARTKEY,1
13,L_SUPPKEY,1
13,PS_SUPPKEY,1
18,SN_COMMENT,1
18,SN_REGIONKEY,1
18,S_NATIONKEY,1
2,CN_NAME,1
2,CN_NATIONKEY,1
2,CN_REGIONKEY,1
2,C_CUSTKEY,0.716557
2,C_NATIONKEY,1
2,C_PHONE,1
2,O_CUSTKEY,0.717151
21,L_ORDERKEY,1
21,O_ORDERKEY,1
3,PS_SUPPKEY,0.755942
3,S_ADDRESS,0.756816
3,S_COMMENT,0.761788
3,S_NAME,0.757431
7,L_LINESTATUS,0.987897
20,CN_COMMENT,1
20,C_NATIONKEY,1
16,L_LINESTATUS,0.992551
16,O_ORDERSTATUS,0.957249
5,PS_PARTKEY,0.999547
5,P_PARTKEY,0.999515
8,P_MFGR,1
8,SN_REGIONKEY,1
8,SR_COMMENT,1
8,SR_NAME,1
17,SN_REGIONKEY,1
17,SR_REGIONKEY,1
9,L_PARTKEY,1
9,PS_PARTKEY,1
19,CN_REGIONKEY,1
