index,target,mcc
11,L_LINESTATUS,0.98736
21,N_REGIONKEY,1
21,R_REGIONKEY,1
8,L_LINESTATUS,0.99289
8,O_ORDERSTATUS,0.956968
8,PS_PARTKEY,0.96726
8,P_PARTKEY,0.934135
24,C_NATIONKEY,1
24,N_COMMENT,1
24,PS_SUPPKEY,0.912083
24,S_SUPPKEY,0.931784
12,N_REGIONKEY,1
12,R_COMMENT,1
12,R_NAME,1
18,L_SUPPKEY,0.998775
18,PS_SUPPKEY,0.997631
5,L_LINESTATUS,0.99512
5,O_ORDERSTATUS,0.969682
14,L_PARTKEY,0.989379
14,PS_PARTKEY,0.953897
1,C_NATIONKEY,1
1,C_PHONE,1
1,N_NAME,1
1,N_NATIONKEY,1
1,N_REGIONKEY,1
4,C_PHONE,1
4,N_NAME,1
16,L_PARTKEY,0.968992
16,PS_PARTKEY,0.967568
16,P_MFGR,1
25,L_ORDERKEY,1
25,O_ORDERKEY,1
22,N_REGIONKEY,1
23,N_REGIONKEY,1
3,C_NATIONKEY,1
3,C_PHONE,1
