index,target,mcc
11,L_LINESTATUS,0.987478
21,SN_REGIONKEY,1
21,SR_REGIONKEY,1
8,L_LINESTATUS,0.991457
8,O_ORDERSTATUS,0.968608
8,PS_PARTKEY,0.943975
8,P_PARTKEY,0.925533
24,CN_COMMENT,1
24,C_NATIONKEY,1
24,PS_SUPPKEY,0.911392
24,S_SUPPKEY,0.901063
12,SN_REGIONKEY,1
12,SR_COMMENT,1
12,SR_NAME,1
18,L_SUPPKEY,0.996687
18,PS_SUPPKEY,0.998394
5,L_LINESTATUS,0.991355
5,O_ORDERSTATUS,0.970483
14,L_PARTKEY,0.973238
14,PS_PARTKEY,0.957049
1,CN_NAME,1
1,CN_NATIONKEY,1
1,CN_REGIONKEY,1
1,C_NATIONKEY,1
1,C_PHONE,1
4,CN_NAME,1
4,C_PHONE,1
16,L_PARTKEY,0.954845
16,PS_PARTKEY,0.935041
16,P_MFGR,1
25,L_ORDERKEY,1
25,O_ORDERKEY,1
22,SN_COMMENT,1
22,SN_REGIONKEY,1
22,S_NATIONKEY,1
23,CN_REGIONKEY,1
3,C_NATIONKEY,1
3,C_PHONE,1
