"","index","target","pruningPossible","pruned","minimal"
"1",97,"migrationcodechangeinmsa",TRUE,"countryofbirthfather|detailedhouseholdandfamilystat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg|regionofpreviousresidence|weeksworkedinyear","countryofbirthfather|detailedhouseholdandfamilystat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg|regionofpreviousresidence|weeksworkedinyear,migrationcodechangeinmsa|migrationcodechangeinreg,migrationcodechangeinmsa|migrationcodemovewithinreg,migrationcodechangeinmsa|regionofpreviousresidence"
"2",97,"migrationcodechangeinreg",FALSE,"detailedindustryrecode|education|wageperhour|countryofbirthfather|weeksworkedinyear|regionofpreviousresidence|detailedhouseholdandfamilystat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg","detailedindustryrecode|education|wageperhour|countryofbirthfather|weeksworkedinyear|regionofpreviousresidence|detailedhouseholdandfamilystat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg"
"3",97,"migrationcodemovewithinreg",TRUE,"migrationcodechangeinreg|migrationcodemovewithinreg|regionofpreviousresidence","migrationcodechangeinreg|migrationcodemovewithinreg|regionofpreviousresidence"
"4",97,"regionofpreviousresidence",TRUE,"migrationcodemovewithinreg|regionofpreviousresidence","migrationcodemovewithinreg|regionofpreviousresidence"
