index,method
2,svm
3,svm
4,svm
5,svm
6,svm
7,svm
8,svm
9,bayes
10,bayes
11,svm
12,bayes
13,svm
14,svm
15,bayes
16,svm
17,bayes
18,svm
19,bayes
20,bayes
21,bayes
22,bayes
23,bayes
24,bayes
25,svm
26,bayes
27,svm
28,bayes
29,bayes
30,svm
31,svm
32,bayes
34,bayes
37,svm
38,bayes
