"","index","target","pruningPossible","pruned","minimal"
"1",10,"liveinthishouse1yearago",FALSE,"age|education|taxfilerstat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg|liveinthishouse1yearago|weeksworkedinyear|detailedhouseholdandfamilystat|veteransbenefits","age|education|taxfilerstat|migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg|liveinthishouse1yearago|weeksworkedinyear|detailedhouseholdandfamilystat|veteransbenefits"
"2",10,"migrationcodechangeinmsa",TRUE,"migrationcodechangeinmsa|migrationcodechangeinreg|migrationcodemovewithinreg","migrationcodechangeinmsa|migrationcodechangeinreg,migrationcodechangeinmsa|migrationcodemovewithinreg"
"3",10,"migrationcodechangeinreg",TRUE,"migrationcodechangeinreg|migrationcodemovewithinreg","migrationcodechangeinreg|migrationcodemovewithinreg"
"4",10,"migrationcodemovewithinreg",TRUE,"age|detailedhouseholdandfamilystat|education|liveinthishouse1yearago|migrationcodechangeinreg|migrationcodemovewithinreg|taxfilerstat|veteransbenefits|weeksworkedinyear","age|detailedhouseholdandfamilystat|education|liveinthishouse1yearago|migrationcodechangeinreg|migrationcodemovewithinreg|taxfilerstat|veteransbenefits|weeksworkedinyear,migrationcodechangeinreg|migrationcodemovewithinreg,migrationcodechangeinreg|migrationcodemovewithinreg|veteransbenefits"
