detailedhouseholdandfamilystat,0.8879189073727958
detailedhouseholdsummaryinhousehold,0.9445426274030068
detailedindustryrecode,0.7947346818388387
detailedoccupationrecode,0.6935407529432001
enrollineduinstlastwk,0.6088726145896021
familymembersunder18,0.737859861628754
majorindustrycode,0.9517863584121462
majoroccupationcode,0.9428199351494295
maritalstat,0.6800473161486971
migrationcodechangeinreg,0.8974067736141437
migrationcodemovewithinreg,0.8938024640052529
taxfilerstat,0.7515764586137238
